path_id,inserted,dep_min,dep_hhmm,route,dwell_min
D_20260312_4M60_1,0,,,,
D_20260312_4M78_1,0,,,,
D_20260313_4M60_1,0,,,,
D_20260314_4M60_1,0,,,,
D_20260314_4M90_2,0,,,,
D_20260314_4M78_1,0,,,,
D_20260314_4M53_1,0,,,,
D_20260326_4M60_1,0,,,,
D_20260326_4M46_1,0,,,,
D_20260326_4M90_1,0,,,,
D_20260326_4M78_1,0,,,,
D_20260327_4M60_1,0,,,,
D_20260327_4M90_1,0,,,,
D_20260327_4M78_1,0,,,,
D_20260328_4M60_1,0,,,,
D_20260328_4M90_1,0,,,,
D_20260328_4M53_1,0,,,,
D_20260328_4M78_1,0,,,,
D_20260330_4M83_1,0,,,,
D_20260331_4M78_1,0,,,,
D_20260331_4M90_1,0,,,,
D_20260331_4H61_1,0,,,,
D_20260316_4H61_1,0,,,,
D_20260317_4H61_1,0,,,,
D_20260318_4H61_1,0,,,,
D_20260330_4H61_1,0,,,,
D_20260314_4H74_1,0,,,,
D_20260312_4O46_1,0,,,,
D_20260314_4Z20_1,0,,,,
D_20260314_4O46_1,0,,,,
D_20260327_4O46_1,0,,,,
D_20260328_4O46_1,0,,,,
D_20260331_4O46_1,0,,,,
D_20260326_4O46_1,0,,,,
D_20260312_4L22_1,0,,,,
D_20260313_4L22_1,0,,,,
D_20260325_4L22_1,0,,,,
D_20260326_4L22_1,0,,,,
D_20260327_4L22_1,0,,,,
D_20260330_4L22_1,0,,,,
D_20260331_4L22_1,0,,,,
